Manufacturer|Product Name|Size|itemType|SKU|BasePrice
Tippy Toes|Diapers Size 5|27 ct|Diapers|42154001|$7.99
Tippy Toes|Diapers Size 5|70 ct|Diapers|42155001|$16.99
Tip Top|Tip Top Lox |11.1|Fresh Fish|42156001|$0.79
Thresher|Thresher Malted Milk Balls |8.3|Chocolate Candy|42157001|$1.58
Thresher|Thresher Mint Chocolate Bar |17.8|Chocolate Candy|42158001|$1.71
Thresher|Thresher Mints |5.19|Hard Candy|42159001|$1.81
Thresher|Thresher Semi-Sweet Chocolate Bar |17.7|Chocolate Candy|42160001|$1.87
Thresher|Thresher Spicy Mints |8.1|Hard Candy|42161001|$3.65
Thresher|Thresher Tasty Candy Bar |16.5|Chocolate Candy|42162001|$3.44
Thresher|Thresher White Chocolate Bar |9.5|Chocolate Candy|42163001|$2.49
Thomas|Bagel Thins 100% Whole Wheat|13 oz|Baked Goods Other than Bread|42164001|$2.50
Thomas|Bagel Thins Cinnamon Raisin|13 oz|Baked Goods Other than Bread|42165001|$2.50
Thomas|Bagel Thins Everything|13 oz|Baked Goods Other than Bread|42166001|$2.50
Thomas|Bagel Thins Plain|13 oz|Baked Goods Other than Bread|42167001|$2.50
Thomas|Bagels 100% Whole Wheat Mini|20 oz|Baked Goods Other than Bread|42168001|$3.00
Thomas|Bagels Blueberry|22 oz|Baked Goods Other than Bread|42169001|$3.00
Thomas|Bagels Cinnamon Raisin|22 oz|Baked Goods Other than Bread|42170001|$3.00
Thomas|Bagels Cinnamon Raisin Mini|20 oz|Baked Goods Other than Bread|42171001|$3.00
Thomas|Bagels Everything|22 oz|Baked Goods Other than Bread|42172001|$3.00
Thomas|Bagels Hearty Grains Whole Wheat|22 oz|Baked Goods Other than Bread|42173001|$3.00
Thomas|Bagels Plain|22 oz|Baked Goods Other than Bread|42174001|$3.00
Thomas|Bagels Plain Mini|20 oz|Baked Goods Other than Bread|42175001|$3.00
Thomas|Bagels Plain Whole Grain|22 oz|Baked Goods Other than Bread|42176001|$3.00
Thomas|English Muffins Double Fiber Honey Wheat|12 oz|Baked Goods Other than Bread|42177001|$3.00
Thomas|English Muffins Hearty Grains 100% Whole Wheat|13 oz|Baked Goods Other than Bread|42178001|$3.00
Thomas|English Muffins Multi Grain Light|12 oz|Baked Goods Other than Bread|42179001|$3.00
Thomas|English Muffins Original|12 oz|Baked Goods Other than Bread|42180001|$2.50
Thomas|English Muffins Original|24 oz|Baked Goods Other than Bread|42181001|$5.49
Thomas|English Muffins Original Whole Grain With Omega 3|12 oz|Baked Goods Other than Bread|42182001|$2.50
Thomas|English Muffins Raisin|13 oz|Baked Goods Other than Bread|42183001|$2.50
Thomas|English Muffins Triple Health|11 oz|Baked Goods Other than Bread|42184001|$3.00
Tell Tale|Tell Tale Almonds |8.5|Nuts|42185001|$3.68
Tell Tale|Tell Tale Asparagus |6.35|Fresh Vegetables|42186001|$3.64
Tell Tale|Tell Tale Baby Onion |14|Fresh Vegetables|42187001|$2.66
Tell Tale|Tell Tale Beets |6.09|Fresh Vegetables|42188001|$2.60
Tell Tale|Tell Tale Broccoli |17.8|Fresh Vegetables|42189001|$1.81
Tell Tale|Tell Tale Canned Peanuts |6.86|Nuts|42190001|$3.40
Tell Tale|Tell Tale Cantelope |15.1|Fresh Fruit|42191001|$3.82
Tell Tale|Tell Tale Cauliflower |13.6|Fresh Vegetables|42192001|$1.87
Tell Tale|Tell Tale Corn on the Cob |10|Fresh Vegetables|42193001|$1.94
Tell Tale|Tell Tale Dried Mushrooms |15.1|Fresh Vegetables|42194001|$1.45
Tell Tale|Tell Tale Elephant Garlic |5.42|Fresh Vegetables|42195001|$2.64
Tell Tale|Tell Tale Fancy Plums |19|Fresh Fruit|42196001|$0.68
Tell Tale|Tell Tale Firm Tofu |16.1|Tofu|42197001|$1.67
Tell Tale|Tell Tale Fresh Lima Beans |18.1|Fresh Vegetables|42198001|$3.17
Tell Tale|Tell Tale Fuji Apples |6.47|Fresh Fruit|42199001|$3.63
Tell Tale|Tell Tale Garlic |6.22|Fresh Vegetables|42200001|$1.17
Tell Tale|Tell Tale Golden Delcious Apples |11.8|Fresh Fruit|42201001|$3.79
Tell Tale|Tell Tale Green Pepper |11.3|Fresh Vegetables|42202001|$1.65
Tell Tale|Tell Tale Honey Dew |6.28|Fresh Fruit|42203001|$2.80
Tell Tale|Tell Tale Lemons |7.32|Fresh Fruit|42204001|$0.61
Tell Tale|Tell Tale Lettuce |19.2|Fresh Vegetables|42205001|$1.77
Tell Tale|Tell Tale Limes |11.6|Fresh Fruit|42206001|$1.84
Tell Tale|Tell Tale Macintosh Apples |18.3|Fresh Fruit|42207001|$2.53
Tell Tale|Tell Tale Mandarin Oranges |19.7|Fresh Fruit|42208001|$1.91
Tell Tale|Tell Tale Mixed Nuts |19.7|Nuts|42209001|$1.85
Tell Tale|Tell Tale Mushrooms |11.8|Fresh Vegetables|42210001|$2.96
Tell Tale|Tell Tale New Potatos |12.8|Fresh Vegetables|42211001|$1.14
Tell Tale|Tell Tale Onions |13.3|Fresh Vegetables|42212001|$2.41
Tell Tale|Tell Tale Oranges |9.3|Fresh Fruit|42213001|$1.72
Tell Tale|Tell Tale Party Nuts |9.3|Nuts|42214001|$2.85
Tell Tale|Tell Tale Peaches |10|Fresh Fruit|42215001|$0.58
Tell Tale|Tell Tale Plums |7.85|Fresh Fruit|42216001|$2.74
Tell Tale|Tell Tale Potatos |10.1|Fresh Vegetables|42217001|$0.84
Tell Tale|Tell Tale Prepared Salad |7.77|Fresh Vegetables|42218001|$2.59
Tell Tale|Tell Tale Red Delcious Apples |18.8|Fresh Fruit|42219001|$1.90
Tell Tale|Tell Tale Red Pepper |6.02|Fresh Vegetables|42220001|$1.93
Tell Tale|Tell Tale Shitake Mushrooms |18.6|Fresh Vegetables|42221001|$3.51
Tell Tale|Tell Tale Squash |20.2|Fresh Vegetables|42222001|$1.86
Tell Tale|Tell Tale Summer Squash |16.7|Fresh Vegetables|42223001|$0.73
Tell Tale|Tell Tale Sweet Onion |11.5|Fresh Vegetables|42224001|$1.36
Tell Tale|Tell Tale Sweet Peas |12.5|Fresh Vegetables|42225001|$2.19
Tell Tale|Tell Tale Tangerines |11.8|Fresh Fruit|42226001|$1.74
Tell Tale|Tell Tale Tomatos |10.8|Fresh Vegetables|42227001|$2.55
Tell Tale|Tell Tale Walnuts |13.6|Nuts|42228001|$1.63
Tastykake|Cake Dreamies Creme Kakes|14 oz|Baked Goods Other than Bread|42229001|$3.00
Tastykake|Cake Kandy Kake Peanut Butter|8 oz|Baked Goods Other than Bread|42230001|$3.00
Tastykake|Cake Koffee Kake Cream Filled|12 oz|Baked Goods Other than Bread|42231001|$3.00
Tastykake|Cupcakes Buttercream|13.5 oz|Baked Goods Other than Bread|42232001|$3.00
Tastykake|Cupcakes Chocolate|12.75 oz|Baked Goods Other than Bread|42233001|$3.00
Tastykake|Cupcakes Krimpet Butterscotch|12 oz|Baked Goods Other than Bread|42234001|$3.00
Tastykake|Cupcakes Lemon|12.75 oz|Baked Goods Other than Bread|42235001|$3.00
Tastykake|Pie Apple|4 oz|Baked Goods Other than Bread|42236001|$1.00
Tastykake|Pie Cherry|4 oz|Baked Goods Other than Bread|42237001|$1.00
Tastykake|Pie Chocolate Klair|4 oz|Baked Goods Other than Bread|42238001|$1.00
Tastykake|Pie Lemon|4 oz|Baked Goods Other than Bread|42239001|$1.00
Tastykake|Pie Peach|4 oz|Baked Goods Other than Bread|42240001|$1.00
Swiss Miss|Hot Cocoa Mix Marshmallows|10 pkg||42241001|$3.09
Swiss Miss|Hot Cocoa Mix Milk Chocolate|10 pkg|Soda/Juice/Drinks|42242001|$3.09
Swiss Miss|Hot Cocoa Mix Milk Chocolate Canister|28.5 oz|Soda/Juice/Drinks|42243001|$7.69
Swiss Miss|Hot Cocoa Mix Milk Chocolate No Sugar Added|8 pkg|Soda/Juice/Drinks|42244001|$3.59
Swell|Swell Canned Mixed Fruit |7.61|Canned Fruit|42245001|$2.34
Swell|Swell Canned Peaches |12.3|Canned Fruit|42246001|$1.63
Super|Super Brown Sugar |7.25|Sugar|42247001|$1.42
Super|Super Canola Oil |7.89|Cooking Oil|42248001|$1.32
Super|Super Chunky Peanut Butter |5.71|Peanut Butter|42249001|$0.99
Super|Super Corn Oil |5.63|Cooking Oil|42250001|$1.81
Super|Super Creamy Peanut Butter |15.2|Peanut Butter|42251001|$1.48
Super|Super Extra Chunky Peanut Butter |17.7|Peanut Butter|42252001|$3.62
Super|Super Oregano |11.6|Spices|42253001|$3.45
Super|Super Pepper |15.7|Spices|42254001|$2.83
Super|Super Salt |14.7|Spices|42255001|$2.94
Super|Super Sesame Oil |14.5|Cooking Oil|42256001|$2.73
Super|Super Vegetable Oil |7.23|Cooking Oil|42257001|$2.22
Super|Super White Sugar |10.6|Sugar|42258001|$1.56
Sunset|Sunset Counter Cleaner |18|Cleaners|42259001|$0.83
Sunset|Sunset Glass Cleaner |14.3|Cleaners|42260001|$1.85
Sunset|Sunset Room Freshener |13.6|Deodorizers|42261001|$2.44
Sunset|Sunset Toilet Bowl Cleaner |19.8|Cleaners|42262001|$1.16
Sunny Delight Drinks|Sunny Delight Original|6 pkg||42263001|$2.99
Sunny D|Orange Citrus Punch Smooth|64 oz||42264001|$2.19
Sunny D|Orange Citrus Punch Tangy Original|8 pkg||42265001|$3.89
Sun-Maid|Bread Raisin|16 oz|Bread|42266001|$3.29
Sunbeam|Giant Bread|24 oz|Bread|42267001|$1.69
Stubbs|BBQ Sauce Original|18 oz||42268001|$3.99
Stroehmann|Bread Honey Wheat|22 oz|Bread|42269001|$1.99
Stove Top|Stuffing Mix Pork|6 oz||42270001|$2.09
Stouffer's|Lasagna With Meat And Sauce Pasta|38 oz|Frozen Food|42271001|$7.98
Steakumm|Sandwich Steaks Thin Sliced|21 oz||42272001|$4.39
Steady|Steady 200 MG Acetominifen |4.32|Acetominifen|42273001|$1.53
Steady|Steady 200 MG Ibuprofen |9.8|Ibuprofen|42274001|$2.83
Steady|Steady Buffered Aspirin |18.1|Aspirin|42275001|$1.42
Steady|Steady Childrens Aspirin |8.8|Aspirin|42276001|$1.74
Steady|Steady Mint Mouthwash |20.1|Mouthwash|42277001|$2.24
Starkist|Chunk Light Tuna Water (pouch)|7.06 oz||42278001|$2.29
Starbucks|Coffee Blonde Veranda|20 oz|Coffee/Creamer|42279001|$14.29
Starbucks|Coffee Breakfast Blend|12 oz|Coffee/Creamer|42280001|$7.99
Starbucks|Coffee Caffe Verona|12 oz|Coffee/Creamer|42281001|$7.99
Starbucks|Coffee Caffe Verona Decaf|12 oz|Coffee/Creamer|42282001|$7.99
Starbucks|Coffee Caramel|11 oz|Coffee/Creamer|42283001|$7.99
Starbucks|Coffee Colombia|12 oz|Coffee/Creamer|42284001|$7.99
Starbucks|Coffee Espresso|12 oz|Coffee/Creamer|42285001|$7.99
Starbucks|Coffee French Roast|12 oz|Coffee/Creamer|42286001|$7.99
Starbucks|Coffee French Roast|20 oz|Coffee/Creamer|42287001|$14.29
Starbucks|Coffee Gold Coast Blend|12 oz|Coffee/Creamer|42288001|$7.99
Starbucks|Coffee House Blend|12 oz|Coffee/Creamer|42289001|$7.99
Starbucks|Coffee House Blend|20 oz|Coffee/Creamer|42290001|$14.29
Starbucks|Coffee House Blend Decaf|12 oz|Coffee/Creamer|42291001|$7.99
Starbucks|Coffee Italian|12 oz|Coffee/Creamer|42292001|$7.99
Starbucks|Coffee Mocha|11 oz|Coffee/Creamer|42293001|$7.99
Starbucks|Coffee Pike Place|12 oz|Coffee/Creamer|42294001|$7.99
Starbucks|Coffee Sumatra|12 oz|Coffee/Creamer|42295001|$7.99
Starbucks|Coffee Veranda Blend|12 oz|Coffee/Creamer|42296001|$7.99
Starbucks|Coffee Willow Blend|12 oz|Coffee/Creamer|42297001|$7.99
Starbucks|Coffee Willow Blend Decaf|12 oz|Coffee/Creamer|42298001|$7.99
Starbucks|Hot Cocoa Mix Premium Double Chocolate|8 pkg||42299001|$6.59
Starbucks|Hot Cocoa Mix Salted Caramel|8 pkg||42300001|$6.59
Starbucks|Hot Cocoa Mix Vanilla Brulee|8 pkg||42301001|$6.59
Star|Vinegar Balsamic|8.5 oz||42302001|$2.99
Sparkling ICE|Sparkling Spring Water Pomegranate Berry|17 oz||42303001|$1.19
Soy Dream|Soy Milk Vanilla|32 oz|Soda/Juice/Drinks|42304001|$4.79
Soft & Precious|Baby Lotion Original|1 ct||42305001|$2.99
Soft & Precious|Hair Moist Creme|4 oz||42306001|$3.99
Soft & Precious|Hair Moisturizer Detangling|12 oz||42307001|$3.99
Snyders Of Hanover|Tortilla Chips Original|16 oz||42308001|$2.99
Snapple|Singles To Go Diet Green Tea|6 ct||42309001|$0.99
Snapple|Singles To Go Diet Lemon|6 ct||42310001|$0.99
Smuckers|Jam Grape|18 oz|Jelly/Jam|42311001|$2.29
Smuckers|Jam Strawberry|18 oz|Jelly/Jam|42312001|$3.09
Smuckers|Jelly Grape|18 oz|Jelly/Jam|42313001|$2.29
Smuckers|Squeeze Jelly Grape|20 oz|Jelly/Jam|42314001|$2.14
Skippy|Peanut Butter Crunchy|28 oz|Peanut Butter|42315001|$3.99
Skippy|Peanut Butter Smooth|28 oz|Peanut Butter|42316001|$3.99
Simple Truth Organic|Pasta Sauce Tomato Basil|25 oz|Gravy/Sauce|42317001|$1.99
Silk|Almond Milk Original|.5 gal|Soda/Juice/Drinks|42318001|$3.69
Silk|Soymilk Light Chocolate|64 oz|Soda/Juice/Drinks|42319001|$3.69
Ship Shape|Ship Shape Extra Lean Hamburger |11.3|Hamburger|42320001|$2.97
Ship Shape|Ship Shape Seasoned Hamburger |6.26|Hamburger|42321001|$1.75
Shady Lake|Shady Lake Rice Medly |16.6|Rice|42322001|$0.70
Shady Lake|Shady Lake Thai Rice |8|Rice|42323001|$2.81
Seattles Best|Coffee Level 3|12 oz|Coffee/Creamer|42324001|$6.99
Seattles Best|Coffee Level 4|12 oz|Coffee/Creamer|42325001|$6.99
Seattles Best|Coffee Level 5|12 oz|Coffee/Creamer|42326001|$6.99
Scrubbing Bubbles|All Purpose Cleaner Bleach 5-in-1|32 oz||42327001|$3.19
Scrubbing Bubbles|Shower Automatic Refill Liquid Shower Cleaner|34 oz||42328001|$9.00
Scotch-Brite|Sponges Blue|3 pkg||42329001|$2.49
Schmidt Old Tyme|English Muffins Original|12 oz||42330001|$1.49
Schmidt|Bread Amazin Raisin|20 oz|Bread|42331001|$4.39
Sargento|Tastings Medium Asiago|3.25 oz||42332001|$2.79
Sargento|Tastings Parmentino|3.75 oz||42333001|$2.99
Sandwich Bros|Flatbread Angus Cheeseburgers|4 ct|Bread|42334001|$2.99
Sandwich Bros|Flatbread Chicken Melts|4 ct|Bread|42335001|$2.99
Safeway Kitchens|Bran Flakes Cereal|17.3 oz|Cereal|42336001|$2.49
Safeway Kitchens|Coffee 100% Colombian|11 oz|Coffee/Creamer|42337001|$3.29
Safeway Kitchens|Coffee 100% Colombian|34.5 oz|Coffee/Creamer|42338001|$6.99
Safeway Kitchens|Coffee Classic Decaf|13 oz|Coffee/Creamer|42339001|$3.79
Safeway Kitchens|Coffee Classic Decaf|22.6 oz|Coffee/Creamer|42340001|$6.99
Safeway Kitchens|Coffee Classic Regular|11.5 oz|Coffee/Creamer|42341001|$3.29
Safeway Kitchens|Coffee Classic Regular|31.5 oz|Coffee/Creamer|42342001|$6.99
Safeway Kitchens|Coffee French Roast|11.5 oz|Coffee/Creamer|42343001|$3.29
Safeway Kitchens|Coffee French Roast|33 oz|Coffee/Creamer|42344001|$6.99
Safeway Kitchens|Coffee Half The Caffeine|11.5 oz|Coffee/Creamer|42345001|$3.29
Safeway Kitchens|Corn Flakes Cereal|18 oz|Cereal|42346001|$2.49
Safeway Kitchens|Crispy Rice Cereal|12 oz|Cereal|42347001|$2.19
Safeway Kitchens|Honey Nut Toasted Oats Cereal|12.25 oz|Cereal|42348001|$2.19
Safeway|Bread Raisin|16 oz|Bread|42349001|$2.19
Safeway|Bread Texas Toast|24 oz|Bread|42350001|$2.19
Safeway|Coffee Breakfast Blend|12 oz|Coffee/Creamer|42351001|$5.99
Safeway|Coffee Buttery Caramel|12 oz|Coffee/Creamer|42352001|$5.99
Safeway|Coffee Half Caf French|11 oz|Coffee/Creamer|42353001|$5.99
RW Knudsen|Juice Just Black Cherry|32 oz||42354001|$8.69
Rowan Dairy|1.00% Milk|1 gal|Milk|42355001|$3.69
Rowan Dairy|1.00% Milk|1/2 gal|Milk|42356001|$1.89
Rowan Dairy|2.00% Milk|1 gal|Milk|42357001|$3.69
Rowan Dairy|2.00% Milk|1/2 gal|Milk|42358001|$1.89
Rowan Dairy|Whole Milk Milk|1 gal|Milk|42359001|$3.69
Rowan Dairy|Whole Milk Milk|1/2 gal|Milk|42360001|$1.89
Rowan Brand|Cola Soda|67.6 oz|Soda|42361001|$0.99
Rowan|Sugar White|4 lbs||42362001|$1.69
Rolled Gold|Honey Wheat Rods Pretzels|10 oz|Snacks|42363001|$3.29
Reeses|Peanut Butter Cups King Size|2.8 oz|Candy|42364001|$1.69
Red Wing|Red Wing Counter Cleaner |12|Cleaners|42365001|$0.93
Red Wing|Red Wing Glass Cleaner |7.39|Cleaners|42366001|$1.68
Red Wing|Red Wing Room Freshener |13.1|Deodorizers|42367001|$2.95
Red Wing|Red Wing Toilet Bowl Cleaner |18.3|Cleaners|42368001|$2.92
Red Spade|Red Spade Beef Bologna |9.3|Bologna|42369001|$3.76
Red Spade|Red Spade Chicken Hot Dogs |18.2|Hot Dogs|42370001|$2.95
Red Spade|Red Spade Cole Slaw |6.82|Deli Salads|42371001|$0.97
Red Spade|Red Spade Corned Beef |17.2|Deli Meats|42372001|$2.74
Red Spade|Red Spade Foot-Long Hot Dogs |14|Hot Dogs|42373001|$3.56
Red Spade|Red Spade Low Fat Bologna |8.89|Bologna|42374001|$3.44
Red Spade|Red Spade Low Fat Cole Slaw |14.7|Deli Salads|42375001|$3.10
Red Spade|Red Spade Pimento Loaf |12.1|Bologna|42376001|$1.61
Red Spade|Red Spade Potato Salad |14.8|Deli Salads|42377001|$0.68
Red Spade|Red Spade Roasted Chicken |20.7|Fresh Chicken|42378001|$2.76
Red Spade|Red Spade Sliced Chicken |17.1|Deli Meats|42379001|$1.69
Red Spade|Red Spade Sliced Ham |5.13|Deli Meats|42380001|$1.57
Red Spade|Red Spade Sliced Turkey |16.1|Deli Meats|42381001|$2.33
Red Spade|Red Spade Turkey Hot Dogs |4.15|Hot Dogs|42382001|$1.86
Red Oval Farms|Stone Wheat Thins Original|10.6 oz|Snacks|42383001|$4.19
R.W. Knudsen|Just Black Cherry Juice|32 oz||42384001|$3.35
Quick|Quick Extra Lean Hamburger |17.8|Hamburger|42385001|$2.61
Quick|Quick Seasoned Hamburger |14.6|Hamburger|42386001|$3.64
Quaker|Apple Nut Harvest Real Medley Bars|6.7 oz|Snacks|42387001|$3.50
Quaker|Cherry Pistachio Real Medley Bars|6.7 oz|Snacks|42388001|$3.50
Quaker|Granola Bars Chewy Chocolate Chip|6 pkg|Snacks|42389001|$2.50
Quaker|Life Cereal|13 oz|Cereal|42390001|$2.50
Quaker|Life Cinnamon Cereal|13 oz|Cereal|42391001|$2.50
Quaker|Ohs Honey Graham Cereal|10.5 oz|Cereal|42392001|$2.99
Quaker|Peach Almond Real Medley Bars|6.7 oz|Snacks|42393001|$3.50
Quaker|Yogurt Strawberry Chewy Granola Bars|6.1 oz|Snacks|42394001|$2.50
Purnell|Sausage Pork|1 lbs||42395001|$3.29
Produce|Lettuce Head|1 ct|Produce|42396001|$1.09
Produce|Turnip Greens Vegetables|1 lbs|Produce|42397001|$1.29
Private Selection|Mocha Coffee|12 oz|Coffee/Creamer|42398001|$4.99
Pringles|Bacon Potato Crisps|5.6 oz|Snacks|42399001|$1.67
Pringles|BBQ Grab & Go|2.5 oz|Snacks|42400001|$1.00
Pringles|BBQ Potato Crisps|5.5 oz|Snacks|42401001|$1.67
Pringles|Buffalo Ranch Potato Crisps|5.5 oz|Snacks|42402001|$1.67
Pringles|Cheddar & Sour Cream Potato Crisps|5.5 oz|Snacks|42403001|$1.67
Pringles|Cheddar Cheese Grab & Go|2.5 oz|Snacks|42404001|$1.00
Pringles|Cheddar Cheese Potato Crisps|5.5 oz|Snacks|42405001|$1.67
Pringles|Cheese Burger Potato Crisps|5.5 oz|Snacks|42406001|$1.67
Pringles|Honey Butter Stix|4.88 oz|Snacks|42407001|$3.19
Pringles|Honey Mustard Potato Crisps|5.5 oz|Snacks|42408001|$1.67
Pringles|Jalapeno Potato Crisps|5.5 oz|Snacks|42409001|$1.67
Pringles|Lightly Salted Cheddar Cheese Potato Crisps|5.5 oz|Snacks|42410001|$1.67
Pringles|Lightly Salted Potato Crisps|5.5 oz|Snacks|42411001|$1.67
Pringles|Loaded Baked Potato Potato Crisps|5.5 oz|Snacks|42412001|$1.67
Pringles|Loud Fiery Chili Lime Corn Crisps|5.4 oz|Snacks|42413001|$1.67
Pringles|Loud Mighty Margherita Pizza Grain & Vegetable Crisps|5.1 oz|Snacks|42414001|$1.67
Pringles|Loud Salsa Fiesta Corn Crisps|5.4 oz|Snacks|42415001|$1.67
Pringles|Loud Spicy Queso Corn Crisps|5.4 oz|Snacks|42416001|$1.67
Pringles|Loud Super Cheesy Italian Grain & Vegetable Crisps|5.1 oz|Snacks|42417001|$1.67
Pringles|Memphis BBQ Potato Crisps|5.5 oz|Snacks|42418001|$1.67
Pringles|Mixed Flavors Snack Stacks|24 ct|Snacks|42419001|$9.19
Pringles|Original Fat Free Potato Chips|5.43 oz|Snacks|42420001|$2.98
Pringles|Original Grab & Go|2.36 oz|Snacks|42421001|$1.00
Pringles|Original Potato Crisps|12 ct|Snacks|42422001|$5.29
Pringles|Original Potato Crisps|5.2 oz|Snacks|42423001|$1.67
Pringles|Pizza Potato Crisps|5.5 oz|Snacks|42424001|$1.67
Pringles|Pizza Stix|4.88 ct|Snacks|42425001|$3.19
